Station ID,Station Name,Domain,Centre,State,Country,Mode,Address,Address Link,View Details
4398,Pockvue Solutions Pvt. Ltd - Tech,Finance and Mgmt,Bengaluru,Karnataka,India,Onsite,"CRE Spacez, #1, 2  nd Floor, 14th Main Rd, Sector 5,  HSR Layout, Bengaluru, Karnataka 560102","https://www.google.com/maps/search/CRE+Spacez,+#1,+2++nd+Floor,+14th+Main+Rd,+Sector+5,++HSR+Layout,+Bengaluru,+Karnataka+560102",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/4398/114356
8756,Power Finance Corp. Ltd.,Electronics,New Delhi,Delhi,India,Onsite,"POWER FINANCE CORP LTD. Urjanidhi 1, Barakhamba Ln, near Metro Bhawan, Fire Brigade Lane, Connaught Place, New Delhi, Delhi 11000","https://www.google.com/maps/search/POWER+FINANCE+CORP+LTD.+Urjanidhi+1,+Barakhamba+Ln,+near+Metro+Bhawan,+Fire+Brigade+Lane,+Connaught+Place,+New+Delhi,+Delhi+11000",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8756/114356
8797,Pranesh Deep Tech Solutions,Electronics,Hyderabad,Telangana,India,Onsite,Hyderabad Hyderabad,https://www.google.com/maps/search/Hyderabad+Hyderabad,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8797/114356
8626,Pratham Education Foundation-Bengaluru,Finance and Mgmt,Bengaluru,Karnataka,India,Onsite,"Flat G101, Nanda Deep Apartments, 87, Kumarakrupa Rd, Kumara Park East,  Seshadripuram, Bengaluru, Karnataka 560001.","https://www.google.com/maps/search/Flat+G101,+Nanda+Deep+Apartments,+87,+Kumarakrupa+Rd,+Kumara+Park+East,++Seshadripuram,+Bengaluru,+Karnataka+560001.",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8626/114356
8628,Pratham Education Foundation-Koppal,Finance and Mgmt,Koppal,Karnataka,India,Onsite,"Sri Rama nilaya, H-NO= 8-2-143/1, Simpi Linganna Road ,  KOPPAL. 583231","https://www.google.com/maps/search/Sri+Rama+nilaya,+H-NO=+8-2-143/1,+Simpi+Linganna+Road+,++KOPPAL.+583231",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8628/114356
8627,Pratham Education Foundation-Mysuru,Finance and Mgmt,Mysore,Karnataka,India,Onsite,"#2684/1,6th Main, 13th Cross Rd, Vani Vilas Mohalla,  Mysuru, Karnataka","https://www.google.com/maps/search/#2684/1,6th+Main,+13th+Cross+Rd,+Vani+Vilas+Mohalla,++Mysuru,+Karnataka",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8627/114356
4507,Preto Tooling Systems,Mechanical,Hyderabad,Telangana,India,Onsite,"94-3, C.L.E.E.P, Gandhinagar,  Balanagar","https://www.google.com/maps/search/94-3,+C.L.E.E.P,+Gandhinagar,++Balanagar",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/4507/114356
8614,PRIMESTEELTECH IND PVT LTD,Infrastructure,Mumbai,Maharashtra,India,Onsite,"Shop No. 6, 'B' Wing, Tuljai CHS LTD., Kasturba Cross Road No. 4, Borivali (E), Mumbai- 400 066. Shop No. 6, 'B' Wing, Tuljai CHS LTD., Kasturba Cross Road No. 4, Borivali (E), Mumbai- 400 066.","https://www.google.com/maps/search/Shop+No.+6,+'B'+Wing,+Tuljai+CHS+LTD.,+Kasturba+Cross+Road+No.+4,+Borivali+(E),+Mumbai-+400+066.+Shop+No.+6,+'B'+Wing,+Tuljai+CHS+LTD.,+Kasturba+Cross+Road+No.+4,+Borivali+(E),+Mumbai-+400+066.",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8614/114356
8832,Prismberry Technologies Private Limited,CSIS/IT,Noida,Uttar Pradesh,India,Onsite,"B-10, 1st Floor, Block B, Noida Sector 3 Noida, Uttar Pradesh 201301","https://www.google.com/maps/search/B-10,+1st+Floor,+Block+B,+Noida+Sector+3+Noida,+Uttar+Pradesh+201301",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8832/114356
8629,Promark Techsolutionspvt ltd,Manufacturing,Morinda,Punjab,India,Onsite,"Promark Techsolutionspvt ltd , ludhiana highway (NH - 95 ),  morinda , Dist Ropar - punjab -140413","https://www.google.com/maps/search/Promark+Techsolutionspvt+ltd+,+ludhiana+highway+(NH+-+95+),++morinda+,+Dist+Ropar+-+punjab+-140413",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8629/114356
8719,PS-I Entrepreneurship track - Aha Automotive Innovations LLP - Non Tech,CSIS/IT,Jaipur,Rajasthan,India,Onsite,Jaipur -,https://www.google.com/maps/search/Jaipur+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8719/114356
8718,PS-I Entrepreneurship track - Aha Automotive Innovations LLP - Tech,CSIS/IT,Jaipur,Rajasthan,India,Onsite,Jaipur -,https://www.google.com/maps/search/Jaipur+-,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8718/114356
8701,PS-I Entrepreneurship track - Aithri Tech Private Limited - Non Tech,Others,Jaipur,Rajasthan,India,Onsite,"Aithri Tech Pvt Ltd Office #234,235 2nd floor, Metropolis Tower, Ajmer Road,  Purani Chungi, Jaipur 302019","https://www.google.com/maps/search/Aithri+Tech+Pvt+Ltd+Office+#234,235+2nd+floor,+Metropolis+Tower,+Ajmer+Road,++Purani+Chungi,+Jaipur+302019",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8701/114356
8700,PS-I Entrepreneurship track - Aithri Tech Private Limited - Tech,Others,Jaipur,Rajasthan,India,Onsite,"Aithri Tech Pvt Ltd Office #234,235 2nd floor, Metropolis Tower, Ajmer Road, Purani Chungi Jaipur 302019","https://www.google.com/maps/search/Aithri+Tech+Pvt+Ltd+Office+#234,235+2nd+floor,+Metropolis+Tower,+Ajmer+Road,+Purani+Chungi+Jaipur+302019",https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8700/114356
8697,PS-I Entrepreneurship track - Akshar Bharati,Others,Pune,Maharashtra,India,Onsite,Baner Pune Baner Pune,https://www.google.com/maps/search/Baner+Pune+Baner+Pune,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8697/114356
8751,PS-I Entrepreneurship track - Apollyon Dynamics - Non Tech,CSIS/IT,Hyderabad,Telangana,India,Onsite,Hyderabad Telangana,https://www.google.com/maps/search/Hyderabad+Telangana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8751/114356
8750,PS-I Entrepreneurship track - Apollyon Dynamics - Tech,CSIS/IT,Hyderabad,Telangana,India,Onsite,Hyderabad Telangana,https://www.google.com/maps/search/Hyderabad+Telangana,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8750/114356
8704,PS-I Entrepreneurship track - Arthadam,Others,Gurgaon,Haryana,India,Onsite,Gurugram Gurugram,https://www.google.com/maps/search/Gurugram+Gurugram,https://psms.bits-pilani.ac.in/stationpreference/student/stationdetails/8704/114356
